,Date,Unit,Type_Of_Meat,Animal,Commercial_Or_Federally_Inspected,Weight
813,2009-03-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,657596.0
814,2009-03-01,1000 Pounds,Red Meat,Hogs,Commercial,2626676.8
815,2009-03-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4557319.2
816,2009-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,31660.2
817,2009-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,45924.299999999996
818,2009-03-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1112915.2000000002
819,2009-04-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4043659.1999999997
820,2009-04-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,594702.1
821,2009-04-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,42255.2
822,2009-04-01,1000 Pounds,Red Meat,Calves,Commercial,19108.0
823,2009-04-01,1000 Pounds,Red Meat,Calves,Federally Inspected,29792.399999999998
824,2009-04-01,1000 Pounds,Red Meat,Cattle,Commercial,3537837.6
825,2009-04-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5590468.8
826,2009-04-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,628173.0
827,2009-04-01,1000 Pounds,Red Meat,Hogs,Commercial,2566782.4000000004
828,2009-04-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4452218.399999999
829,2009-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,30901.5
830,2009-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,44049.600000000006
831,2009-04-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1149242.7
832,2009-05-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3880900.8
833,2009-05-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,563443.2000000001
834,2009-05-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,43649.9
835,2009-05-01,1000 Pounds,Red Meat,Calves,Commercial,17527.2
836,2009-05-01,1000 Pounds,Red Meat,Calves,Federally Inspected,27220.800000000003
837,2009-05-01,1000 Pounds,Red Meat,Cattle,Commercial,3601515.2
838,2009-05-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5709599.5
839,2009-05-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,616244.2
840,2009-05-01,1000 Pounds,Red Meat,Hogs,Commercial,2290844.3
841,2009-05-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3988546.8
842,2009-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,26042.699999999997
843,2009-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,36907.0
844,2009-05-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1208904.7000000002
845,2009-06-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4061018.5
846,2009-06-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,617994.0
847,2009-06-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,44639.1
848,2009-06-01,1000 Pounds,Red Meat,Calves,Commercial,19402.3
849,2009-06-01,1000 Pounds,Red Meat,Calves,Federally Inspected,30248.0
850,2009-06-01,1000 Pounds,Red Meat,Cattle,Commercial,3783523.5
851,2009-06-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,6002001.600000001
852,2009-06-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,642373.2000000001
853,2009-06-01,1000 Pounds,Red Meat,Hogs,Commercial,2470038.6999999997
854,2009-06-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4295672.0
855,2009-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,27783.600000000002
856,2009-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,38871.0
857,2009-06-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1269049.5999999999
858,2009-07-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4112482.0
859,2009-07-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,610401.2
860,2009-07-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,45864.0
861,2009-07-01,1000 Pounds,Red Meat,Calves,Commercial,18423.0
862,2009-07-01,1000 Pounds,Red Meat,Calves,Federally Inspected,28640.7
863,2009-07-01,1000 Pounds,Red Meat,Cattle,Commercial,3745491.1999999997
864,2009-07-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5946154.6
865,2009-07-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,625889.1
866,2009-07-01,1000 Pounds,Red Meat,Hogs,Commercial,2442596.0999999996
867,2009-07-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4240828.8
868,2009-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,27985.5
869,2009-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,39312.0
870,2009-07-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1266908.5
871,2009-08-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4067223.9999999995
872,2009-08-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,579115.2
873,2009-08-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,44767.0
874,2009-08-01,1000 Pounds,Red Meat,Calves,Commercial,17971.2
875,2009-08-01,1000 Pounds,Red Meat,Calves,Federally Inspected,27820.8
876,2009-08-01,1000 Pounds,Red Meat,Cattle,Commercial,3596996.7
877,2009-08-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5711259.4
878,2009-08-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,627435.2
879,2009-08-01,1000 Pounds,Red Meat,Hogs,Commercial,2503120.0
880,2009-08-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4338390.699999999
881,2009-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,26645.4
882,2009-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,37693.2
883,2009-08-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1186501.5999999999
884,2009-09-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4082713.5999999996
885,2009-09-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,585985.4
886,2009-09-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,47168.0
887,2009-09-01,1000 Pounds,Red Meat,Calves,Commercial,19918.5
888,2009-09-01,1000 Pounds,Red Meat,Calves,Federally Inspected,30841.4
889,2009-09-01,1000 Pounds,Red Meat,Cattle,Commercial,3687256.9999999995
890,2009-09-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5842003.2
891,2009-09-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,650989.6
892,2009-09-01,1000 Pounds,Red Meat,Hogs,Commercial,2683746.0
893,2009-09-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4648444.8
894,2009-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,29276.0
895,2009-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,41526.6
896,2009-09-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1203396.0
897,2009-10-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4133651.4
898,2009-10-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,636358.7999999999
899,2009-10-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,45724.799999999996
900,2009-10-01,1000 Pounds,Red Meat,Calves,Commercial,20791.5
901,2009-10-01,1000 Pounds,Red Meat,Calves,Federally Inspected,32222.4
902,2009-10-01,1000 Pounds,Red Meat,Cattle,Commercial,3786563.1999999997
903,2009-10-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5966361.0
904,2009-10-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,695440.0
905,2009-10-01,1000 Pounds,Red Meat,Hogs,Commercial,2806822.4000000004
906,2009-10-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4859155.0
907,2009-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,28649.699999999997
908,2009-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,40260.0
909,2009-10-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1174025.2000000002
910,2009-11-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3743418.0
911,2009-11-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,598126.1
912,2009-11-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,39342.2
913,2009-11-01,1000 Pounds,Red Meat,Calves,Commercial,19950.6
914,2009-11-01,1000 Pounds,Red Meat,Calves,Federally Inspected,31040.0
915,2009-11-01,1000 Pounds,Red Meat,Cattle,Commercial,3375708.5999999996
916,2009-11-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5319660.300000001
917,2009-11-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,622195.2000000001
918,2009-11-01,1000 Pounds,Red Meat,Hogs,Commercial,2573609.5999999996
919,2009-11-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4467498.0
920,2009-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,28728.300000000003
921,2009-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,40280.4
922,2009-11-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1012859.9999999999
923,2009-12-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4003742.7
924,2009-12-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,572227.2000000001
925,2009-12-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,39098.0
926,2009-12-01,1000 Pounds,Red Meat,Calves,Commercial,22152.0
927,2009-12-01,1000 Pounds,Red Meat,Calves,Federally Inspected,34618.0
928,2009-12-01,1000 Pounds,Red Meat,Cattle,Commercial,3569443.1999999997
929,2009-12-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5620992.3
930,2009-12-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,622888.0
931,2009-12-01,1000 Pounds,Red Meat,Hogs,Commercial,2655234.0
932,2009-12-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4598601.6
933,2009-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,32028.0
934,2009-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,45156.799999999996
935,2009-12-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1119088.8
936,2010-01-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3767455.9999999995
937,2010-01-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,533140.0
938,2010-01-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,37280.6
939,2010-01-01,1000 Pounds,Red Meat,Calves,Commercial,19706.399999999998
940,2010-01-01,1000 Pounds,Red Meat,Calves,Federally Inspected,30599.999999999996
941,2010-01-01,1000 Pounds,Red Meat,Cattle,Commercial,3489966.0
942,2010-01-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5494055.6
943,2010-01-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,634842.0
944,2010-01-01,1000 Pounds,Red Meat,Hogs,Commercial,2422704.0
945,2010-01-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4206745.2
946,2010-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,25737.0
947,2010-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,36718.399999999994
948,2010-01-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1054790.6
949,2010-02-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3650124.8
950,2010-02-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,533432.2000000001
951,2010-02-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,32252.4
952,2010-02-01,1000 Pounds,Red Meat,Calves,Commercial,18278.0
953,2010-02-01,1000 Pounds,Red Meat,Calves,Federally Inspected,28358.100000000002
954,2010-02-01,1000 Pounds,Red Meat,Cattle,Commercial,3272638.0000000005
955,2010-02-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5155974.0
956,2010-02-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,620423.7000000001
957,2010-02-01,1000 Pounds,Red Meat,Hogs,Commercial,2346651.0
958,2010-02-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4085216.4000000004
959,2010-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,25046.0
960,2010-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,35823.6
961,2010-02-01,1000 Pounds,Red Meat,Steers,Federally Inspected,988696.0
962,2010-03-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4194265.5999999996
963,2010-03-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,614081.6
964,2010-03-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,47337.5
965,2010-03-01,1000 Pounds,Red Meat,Calves,Commercial,20694.100000000002
966,2010-03-01,1000 Pounds,Red Meat,Calves,Federally Inspected,32308.0
967,2010-03-01,1000 Pounds,Red Meat,Cattle,Commercial,3706339.5
968,2010-03-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5838880.399999999
969,2010-03-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,656488.0
970,2010-03-01,1000 Pounds,Red Meat,Hogs,Commercial,2728568.0
971,2010-03-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4734772.0
972,2010-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,35532.0
973,2010-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,51127.0
974,2010-03-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1145704.0
975,2010-04-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4072809.6
976,2010-04-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,568844.1
977,2010-04-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,51360.4
978,2010-04-01,1000 Pounds,Red Meat,Calves,Commercial,18837.5
979,2010-04-01,1000 Pounds,Red Meat,Calves,Federally Inspected,29319.000000000004
980,2010-04-01,1000 Pounds,Red Meat,Cattle,Commercial,3566038.0
981,2010-04-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5634017.6
982,2010-04-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,610135.4
983,2010-04-01,1000 Pounds,Red Meat,Hogs,Commercial,2472342.6
984,2010-04-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4292392.2
985,2010-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,25867.199999999997
986,2010-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,36903.9
987,2010-04-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1129687.6
988,2010-05-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4023493.2
989,2010-05-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,547668.0
990,2010-05-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,49084.4
991,2010-05-01,1000 Pounds,Red Meat,Calves,Commercial,17245.8
992,2010-05-01,1000 Pounds,Red Meat,Calves,Federally Inspected,26654.100000000002
993,2010-05-01,1000 Pounds,Red Meat,Cattle,Commercial,3480125.0
994,2010-05-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5499514.5
995,2010-05-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,575942.0
996,2010-05-01,1000 Pounds,Red Meat,Hogs,Commercial,2168275.2
997,2010-05-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3766964.4
998,2010-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,25423.100000000002
999,2010-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,35634.9
1000,2010-05-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1130149.6
1001,2010-06-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4168018.4
1002,2010-06-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,610131.0
1003,2010-06-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,48921.6
1004,2010-06-01,1000 Pounds,Red Meat,Calves,Commercial,18426.5
1005,2010-06-01,1000 Pounds,Red Meat,Calves,Federally Inspected,28535.199999999997
1006,2010-06-01,1000 Pounds,Red Meat,Cattle,Commercial,3845419.5
1007,2010-06-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,6092314.8
1008,2010-06-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,644364.7
1009,2010-06-01,1000 Pounds,Red Meat,Hogs,Commercial,2451547.3
1010,2010-06-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4250832.0
1011,2010-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,28421.399999999998
1012,2010-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,40199.399999999994
1013,2010-06-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1283879.8
1014,2010-07-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4089836.8
1015,2010-07-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,583525.8
1016,2010-07-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,44654.4
1017,2010-07-01,1000 Pounds,Red Meat,Calves,Commercial,18850.1
1018,2010-07-01,1000 Pounds,Red Meat,Calves,Federally Inspected,29269.499999999996
1019,2010-07-01,1000 Pounds,Red Meat,Cattle,Commercial,3690681.5999999996
1020,2010-07-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5857280.0
1021,2010-07-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,626088.0
1022,2010-07-01,1000 Pounds,Red Meat,Hogs,Commercial,2278161.0
1023,2010-07-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3945885.0
1024,2010-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,25675.0
1025,2010-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,35838.3
1026,2010-07-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1229983.2
1027,2010-08-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4304501.6
1028,2010-08-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,602277.2999999999
1029,2010-08-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,48565.0
1030,2010-08-01,1000 Pounds,Red Meat,Calves,Commercial,19304.0
1031,2010-08-01,1000 Pounds,Red Meat,Calves,Federally Inspected,29920.0
1032,2010-08-01,1000 Pounds,Red Meat,Cattle,Commercial,3773407.3000000003
1033,2010-08-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5989984.0
1034,2010-08-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,675727.0
1035,2010-08-01,1000 Pounds,Red Meat,Hogs,Commercial,2433678.3
1036,2010-08-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4217196.8
1037,2010-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,25792.199999999997
1038,2010-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,35666.4
1039,2010-08-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1230077.8
1040,2010-09-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4300809.600000001
1041,2010-09-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,584301.6
1042,2010-09-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,51768.899999999994
1043,2010-09-01,1000 Pounds,Red Meat,Calves,Commercial,19508.8
1044,2010-09-01,1000 Pounds,Red Meat,Calves,Federally Inspected,30100.0
1045,2010-09-01,1000 Pounds,Red Meat,Cattle,Commercial,3734748.6
1046,2010-09-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5912559.2
1047,2010-09-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,664489.8
1048,2010-09-01,1000 Pounds,Red Meat,Hogs,Commercial,2523582.0
1049,2010-09-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4378419.100000001
1050,2010-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,26406.3
1051,2010-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,36270.0
1052,2010-09-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1186239.5999999999
1053,2010-10-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4268113.100000001
1054,2010-10-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,657147.6
1055,2010-10-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,47065.200000000004
1056,2010-10-01,1000 Pounds,Red Meat,Calves,Commercial,19662.5
1057,2010-10-01,1000 Pounds,Red Meat,Calves,Federally Inspected,30170.0
1058,2010-10-01,1000 Pounds,Red Meat,Cattle,Commercial,3715005.8
1059,2010-10-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5862800.399999999
1060,2010-10-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,672873.2
1061,2010-10-01,1000 Pounds,Red Meat,Hogs,Commercial,2686087.2
1062,2010-10-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4651830.2
1063,2010-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,26273.0
1064,2010-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,37104.6
1065,2010-10-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1153722.9
1066,2010-11-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4187318.5000000005
1067,2010-11-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,650715.0
1068,2010-11-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,44996.4
1069,2010-11-01,1000 Pounds,Red Meat,Calves,Commercial,19637.0
1070,2010-11-01,1000 Pounds,Red Meat,Calves,Federally Inspected,30329.100000000002
1071,2010-11-01,1000 Pounds,Red Meat,Cattle,Commercial,3736313.7
1072,2010-11-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5898553.600000001
1073,2010-11-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,670394.0
1074,2010-11-01,1000 Pounds,Red Meat,Hogs,Commercial,2772077.0
1075,2010-11-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4808921.399999999
1076,2010-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,28662.800000000003
1077,2010-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,40421.1
1078,2010-11-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1143477.0
1079,2010-12-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4274331.7
1080,2010-12-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,577830.0
1081,2010-12-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,40906.2
1082,2010-12-01,1000 Pounds,Red Meat,Calves,Commercial,20279.7
1083,2010-12-01,1000 Pounds,Red Meat,Calves,Federally Inspected,31482.6
1084,2010-12-01,1000 Pounds,Red Meat,Cattle,Commercial,3805249.5
1085,2010-12-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5996360.699999999
1086,2010-12-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,669721.2
1087,2010-12-01,1000 Pounds,Red Meat,Hogs,Commercial,2748338.5999999996
1088,2010-12-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4781170.8
1089,2010-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,29808.0
1090,2010-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,42000.0
1091,2010-12-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1180057.2
1092,2011-01-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4209797.5
1093,2011-01-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,580456.8
1094,2011-01-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,37023.0
1095,2011-01-01,1000 Pounds,Red Meat,Calves,Commercial,18837.800000000003
1096,2011-01-01,1000 Pounds,Red Meat,Calves,Federally Inspected,29169.6
1097,2011-01-01,1000 Pounds,Red Meat,Cattle,Commercial,3556934.0
1098,2011-01-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5605499.199999999
1099,2011-01-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,634594.0
1100,2011-01-01,1000 Pounds,Red Meat,Hogs,Commercial,2531023.1999999997
1101,2011-01-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4400580.7
1102,2011-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,22434.600000000002
1103,2011-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,32056.5
1104,2011-01-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1088248.2
1105,2011-02-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3824282.1999999997
1106,2011-02-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,548329.0
1107,2011-02-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,36758.7
1108,2011-02-01,1000 Pounds,Red Meat,Calves,Commercial,18163.2
1109,2011-02-01,1000 Pounds,Red Meat,Calves,Federally Inspected,28314.300000000003
1110,2011-02-01,1000 Pounds,Red Meat,Cattle,Commercial,3370991.8000000003
1111,2011-02-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5327906.5
1112,2011-02-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,636559.6000000001
1113,2011-02-01,1000 Pounds,Red Meat,Hogs,Commercial,2356162.0
1114,2011-02-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4101791.4
1115,2011-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,21855.0
1116,2011-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,31428.0
1117,2011-02-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1021038.0
1118,2011-03-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4432766.0
1119,2011-03-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,630746.8
1120,2011-03-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,47533.4
1121,2011-03-01,1000 Pounds,Red Meat,Calves,Commercial,20732.0
1122,2011-03-01,1000 Pounds,Red Meat,Calves,Federally Inspected,32238.199999999997
1123,2011-03-01,1000 Pounds,Red Meat,Cattle,Commercial,3775811.6
1124,2011-03-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5968737.0
1125,2011-03-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,695849.0
1126,2011-03-01,1000 Pounds,Red Meat,Hogs,Commercial,2744555.0
1127,2011-03-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4760175.600000001
1128,2011-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,28294.800000000003
1129,2011-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,40737.0
1130,2011-03-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1165821.9000000001
1131,2011-04-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3983219.6
1132,2011-04-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,571830.0
1133,2011-04-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,45599.4
1134,2011-04-01,1000 Pounds,Red Meat,Calves,Commercial,17434.399999999998
1135,2011-04-01,1000 Pounds,Red Meat,Calves,Federally Inspected,27097.2
1136,2011-04-01,1000 Pounds,Red Meat,Cattle,Commercial,3417908.6999999997
1137,2011-04-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5403598.6
1138,2011-04-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,604302.0
1139,2011-04-01,1000 Pounds,Red Meat,Hogs,Commercial,2390177.5999999996
1140,2011-04-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4151309.0
