,YearEnd,LocationDesc,Race/Ethnicity,Physical_Percentage,Obesity_Percentage,Soda_Percentage,PanelID,Production_diff,Production_diff_lag_1,Production_diff_lag_2,Production_diff_lag_3,Physical_Percentage_lag_1,Physical_Percentage_lag_2,Physical_Percentage_lag_3
291,2011,Arkansas,Hispanic,17.0,21.3,23.8,75,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,25.1,29.6,18.6
292,2013,Arkansas,Hispanic,16.3,28.2,25.3,75,-169.0,133.79999999999927,-79.5,-592.3000000000002,17.0,25.1,29.6
293,2015,Arkansas,Hispanic,24.8,17.3,26.3,75,-96.5,-169.0,178.5000000000009,133.79999999999927,16.3,17.0,25.1
294,2017,Arkansas,Hispanic,22.4,23.1,25.0,75,8.300000000000182,-96.5,-156.80000000000018,-169.0,24.8,16.3,17.0
295,2019,Arkansas,Hispanic,13.8,20.8,20.7,75,-96.0,8.300000000000182,333.89999999999964,-96.5,22.4,24.8,16.3
296,2015,California,Hispanic,36.2,19.9,16.3,76,-96.5,-169.0,178.5000000000009,133.79999999999927,17.4,33.0,34.0
297,2017,California,Hispanic,39.2,17.2,15.1,76,8.300000000000182,-96.5,-156.80000000000018,-169.0,36.2,17.4,33.0
298,2019,California,Hispanic,26.1,20.1,18.6,76,-96.0,8.300000000000182,333.89999999999964,-96.5,39.2,36.2,17.4
300,2015,Connecticut,Hispanic,14.7,16.1,13.4,78,-96.5,-169.0,178.5000000000009,133.79999999999927,6.6,11.7,14.1
301,2017,Connecticut,Hispanic,12.7,20.5,13.9,78,8.300000000000182,-96.5,-156.80000000000018,-169.0,14.7,6.6,11.7
302,2007,Delaware,Hispanic,28.9,24.4,33.4,79,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,12.3,12.6,29.3
303,2009,Delaware,Hispanic,25.5,19.4,25.9,79,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,28.9,12.3,12.6
304,2011,Delaware,Hispanic,25.8,19.1,27.3,79,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,25.5,28.9,12.3
305,2013,Delaware,Hispanic,12.1,18.6,20.9,79,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.8,25.5,28.9
306,2015,Delaware,Hispanic,14.0,16.3,22.8,79,-96.5,-169.0,178.5000000000009,133.79999999999927,12.1,25.8,25.5
309,2007,Florida,Hispanic,18.5,18.9,27.5,81,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,22.1,16.0,13.4
310,2009,Florida,Hispanic,21.7,14.9,27.8,81,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,18.5,22.1,16.0
311,2011,Florida,Hispanic,21.2,14.3,25.6,81,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,21.7,18.5,22.1
312,2013,Florida,Hispanic,20.3,16.0,20.6,81,-169.0,133.79999999999927,-79.5,-592.3000000000002,21.2,21.7,18.5
313,2015,Florida,Hispanic,19.5,15.9,18.7,81,-96.5,-169.0,178.5000000000009,133.79999999999927,20.3,21.2,21.7
314,2017,Florida,Hispanic,19.4,15.0,16.1,81,8.300000000000182,-96.5,-156.80000000000018,-169.0,19.5,20.3,21.2
315,2019,Florida,Hispanic,17.4,18.6,14.8,81,-96.0,8.300000000000182,333.89999999999964,-96.5,19.4,19.5,20.3
319,2013,Georgia,Hispanic,37.0,20.7,28.4,82,-169.0,133.79999999999927,-79.5,-592.3000000000002,23.8,25.2,38.3
320,2019,Guam,Hispanic,13.9,11.0,18.9,83,-96.0,8.300000000000182,333.89999999999964,-96.5,12.7,8.4,10.7
321,2007,Hawaii,Hispanic,6.6,17.6,18.2,84,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,14.5,7.9,7.5
322,2009,Hawaii,Hispanic,10.0,13.6,20.1,84,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,6.6,14.5,7.9
323,2011,Hawaii,Hispanic,6.5,12.8,18.6,84,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,10.0,6.6,14.5
324,2013,Hawaii,Hispanic,7.9,14.3,15.4,84,-169.0,133.79999999999927,-79.5,-592.3000000000002,6.5,10.0,6.6
325,2015,Hawaii,Hispanic,5.5,17.5,14.0,84,-96.5,-169.0,178.5000000000009,133.79999999999927,7.9,6.5,10.0
326,2017,Hawaii,Hispanic,7.1,18.0,11.1,84,8.300000000000182,-96.5,-156.80000000000018,-169.0,5.5,7.9,6.5
327,2019,Hawaii,Hispanic,6.9,18.0,11.2,84,-96.0,8.300000000000182,333.89999999999964,-96.5,7.1,5.5,7.9
331,2013,Idaho,Hispanic,30.1,16.7,22.1,85,-169.0,133.79999999999927,-79.5,-592.3000000000002,26.6,27.7,33.8
332,2015,Idaho,Hispanic,34.0,20.8,15.3,85,-96.5,-169.0,178.5000000000009,133.79999999999927,30.1,26.6,27.7
333,2017,Idaho,Hispanic,31.4,20.3,12.5,85,8.300000000000182,-96.5,-156.80000000000018,-169.0,34.0,30.1,26.6
334,2019,Idaho,Hispanic,24.7,15.2,13.0,85,-96.0,8.300000000000182,333.89999999999964,-96.5,31.4,34.0,30.1
335,2007,Illinois,Hispanic,44.9,19.5,33.0,86,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,71.0,76.2,70.6
336,2009,Illinois,Hispanic,62.9,20.3,25.9,86,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,44.9,71.0,76.2
337,2011,Illinois,Hispanic,66.3,19.2,22.7,86,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,62.9,44.9,71.0
338,2013,Illinois,Hispanic,59.7,18.8,19.9,86,-169.0,133.79999999999927,-79.5,-592.3000000000002,66.3,62.9,44.9
339,2015,Illinois,Hispanic,55.9,21.9,17.9,86,-96.5,-169.0,178.5000000000009,133.79999999999927,59.7,66.3,62.9
340,2017,Illinois,Hispanic,61.5,19.9,16.0,86,8.300000000000182,-96.5,-156.80000000000018,-169.0,55.9,59.7,66.3
341,2019,Illinois,Hispanic,57.1,20.7,13.4,86,-96.0,8.300000000000182,333.89999999999964,-96.5,61.5,55.9,59.7
343,2009,Indiana,Hispanic,30.1,17.9,16.6,87,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,24.5,34.5,20.3
344,2011,Indiana,Hispanic,19.6,16.4,19.6,87,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,30.1,24.5,34.5
345,2015,Indiana,Hispanic,26.2,18.0,14.8,87,-96.5,-169.0,178.5000000000009,133.79999999999927,19.6,30.1,24.5
349,2007,Kansas,Hispanic,31.0,18.9,31.9,89,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,26.0,22.8,15.5
350,2009,Kansas,Hispanic,25.4,13.9,28.3,89,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,31.0,26.0,22.8
351,2011,Kansas,Hispanic,29.6,17.0,22.4,89,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,25.4,31.0,26.0
352,2013,Kansas,Hispanic,24.8,20.7,18.6,89,-169.0,133.79999999999927,-79.5,-592.3000000000002,29.6,25.4,31.0
353,2017,Kansas,Hispanic,23.9,22.4,13.1,89,8.300000000000182,-96.5,-156.80000000000018,-169.0,24.8,29.6,25.4
354,2019,Kansas,Hispanic,19.0,21.0,16.4,89,-96.0,8.300000000000182,333.89999999999964,-96.5,23.9,24.8,29.6
357,2015,Kentucky,Hispanic,23.1,11.8,24.1,90,-96.5,-169.0,178.5000000000009,133.79999999999927,16.0,15.1,31.1
358,2017,Kentucky,Hispanic,19.1,19.9,21.1,90,8.300000000000182,-96.5,-156.80000000000018,-169.0,23.1,16.0,15.1
359,2019,Kentucky,Hispanic,18.1,17.2,17.6,90,-96.0,8.300000000000182,333.89999999999964,-96.5,19.1,23.1,16.0
361,2009,Maryland,Hispanic,16.0,16.7,17.7,92,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,16.9,8.7,17.2
362,2011,Maryland,Hispanic,18.9,15.3,20.9,92,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,16.0,16.9,8.7
363,2013,Maryland,Hispanic,17.4,18.7,17.7,92,-169.0,133.79999999999927,-79.5,-592.3000000000002,18.9,16.0,16.9
364,2015,Maryland,Hispanic,16.4,19.5,16.3,92,-96.5,-169.0,178.5000000000009,133.79999999999927,17.4,18.9,16.0
365,2017,Maryland,Hispanic,17.3,18.1,13.3,92,8.300000000000182,-96.5,-156.80000000000018,-169.0,16.4,17.4,18.9
366,2019,Maryland,Hispanic,17.0,20.4,11.6,92,-96.0,8.300000000000182,333.89999999999964,-96.5,17.3,16.4,17.4
367,2007,Massachusetts,Hispanic,17.6,21.2,28.0,93,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,23.5,15.5,26.0
368,2009,Massachusetts,Hispanic,20.1,18.8,23.1,93,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,17.6,23.5,15.5
369,2011,Massachusetts,Hispanic,21.2,15.7,17.2,93,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,20.1,17.6,23.5
370,2013,Massachusetts,Hispanic,15.9,14.6,19.1,93,-169.0,133.79999999999927,-79.5,-592.3000000000002,21.2,20.1,17.6
371,2015,Massachusetts,Hispanic,22.8,19.9,16.9,93,-96.5,-169.0,178.5000000000009,133.79999999999927,15.9,21.2,20.1
372,2017,Massachusetts,Hispanic,17.9,20.0,12.5,93,8.300000000000182,-96.5,-156.80000000000018,-169.0,22.8,15.9,21.2
373,2019,Massachusetts,Hispanic,26.8,16.2,14.2,93,-96.0,8.300000000000182,333.89999999999964,-96.5,17.9,22.8,15.9
374,2007,Michigan,Hispanic,27.6,15.9,27.2,94,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,25.1,22.3,24.9
375,2009,Michigan,Hispanic,31.5,15.6,33.1,94,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,27.6,25.1,22.3
376,2011,Michigan,Hispanic,25.5,16.2,24.0,94,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,31.5,27.6,25.1
377,2013,Michigan,Hispanic,24.5,12.8,20.0,94,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.5,31.5,27.6
378,2015,Michigan,Hispanic,25.6,22.2,18.4,94,-96.5,-169.0,178.5000000000009,133.79999999999927,24.5,25.5,31.5
379,2017,Michigan,Hispanic,22.6,17.5,16.0,94,8.300000000000182,-96.5,-156.80000000000018,-169.0,25.6,24.5,25.5
380,2019,Michigan,Hispanic,25.6,17.9,16.5,94,-96.0,8.300000000000182,333.89999999999964,-96.5,22.6,25.6,24.5
386,2007,Montana,Hispanic,29.4,16.6,30.4,97,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,35.8,36.0,34.5
387,2009,Montana,Hispanic,30.9,15.6,39.4,97,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,29.4,35.8,36.0
388,2011,Montana,Hispanic,35.2,17.3,22.0,97,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,30.9,29.4,35.8
389,2013,Montana,Hispanic,35.1,14.5,22.9,97,-169.0,133.79999999999927,-79.5,-592.3000000000002,35.2,30.9,29.4
390,2015,Montana,Hispanic,29.8,14.8,25.2,97,-96.5,-169.0,178.5000000000009,133.79999999999927,35.1,35.2,30.9
391,2017,Montana,Hispanic,32.9,12.7,16.2,97,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.8,35.1,35.2
392,2019,Montana,Hispanic,34.3,12.4,15.1,97,-96.0,8.300000000000182,333.89999999999964,-96.5,32.9,29.8,35.1
393,2007,National,Hispanic,36.0,17.8,33.4,98,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,23.1,41.6,27.8
394,2009,National,Hispanic,40.5,19.3,28.1,98,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,36.0,23.1,41.6
395,2011,National,Hispanic,30.0,17.4,27.0,98,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,40.5,36.0,23.1
396,2013,National,Hispanic,37.7,18.3,22.6,98,-169.0,133.79999999999927,-79.5,-592.3000000000002,30.0,40.5,36.0
397,2015,National,Hispanic,37.7,18.4,21.7,98,-96.5,-169.0,178.5000000000009,133.79999999999927,37.7,30.0,40.5
398,2017,National,Hispanic,37.4,19.5,17.0,98,8.300000000000182,-96.5,-156.80000000000018,-169.0,37.7,37.7,30.0
399,2019,National,Hispanic,29.9,19.6,16.1,98,-96.0,8.300000000000182,333.89999999999964,-96.5,37.4,37.7,37.7
402,2015,Nebraska,Hispanic,26.5,21.5,20.0,99,-96.5,-169.0,178.5000000000009,133.79999999999927,31.2,34.7,29.0
403,2017,Nebraska,Hispanic,25.7,23.1,20.1,99,8.300000000000182,-96.5,-156.80000000000018,-169.0,26.5,31.2,34.7
404,2019,Nebraska,Hispanic,22.3,11.5,15.5,99,-96.0,8.300000000000182,333.89999999999964,-96.5,25.7,26.5,31.2
405,2013,Nevada,Hispanic,25.6,19.1,18.0,100,-169.0,133.79999999999927,-79.5,-592.3000000000002,15.8,26.0,15.6
406,2015,Nevada,Hispanic,33.8,18.7,12.7,100,-96.5,-169.0,178.5000000000009,133.79999999999927,25.6,15.8,26.0
407,2017,Nevada,Hispanic,31.7,16.2,16.1,100,8.300000000000182,-96.5,-156.80000000000018,-169.0,33.8,25.6,15.8
408,2019,Nevada,Hispanic,18.7,17.3,13.5,100,-96.0,8.300000000000182,333.89999999999964,-96.5,31.7,33.8,25.6
410,2013,New Jersey,Hispanic,47.1,17.4,19.4,101,-169.0,133.79999999999927,-79.5,-592.3000000000002,60.4,40.9,58.5
411,2007,New Mexico,Hispanic,32.4,14.4,29.8,102,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,12.8,27.9,28.0
412,2009,New Mexico,Hispanic,26.6,15.8,29.8,102,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,32.4,12.8,27.9
413,2011,New Mexico,Hispanic,27.1,15.1,28.2,102,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,26.6,32.4,12.8
414,2013,New Mexico,Hispanic,23.3,16.5,21.0,102,-169.0,133.79999999999927,-79.5,-592.3000000000002,27.1,26.6,32.4
415,2015,New Mexico,Hispanic,26.3,17.3,20.2,102,-96.5,-169.0,178.5000000000009,133.79999999999927,23.3,27.1,26.6
416,2017,New Mexico,Hispanic,25.7,16.5,20.7,102,8.300000000000182,-96.5,-156.80000000000018,-169.0,26.3,23.3,27.1
417,2019,New Mexico,Hispanic,24.8,16.7,17.6,102,-96.0,8.300000000000182,333.89999999999964,-96.5,25.7,26.3,23.3
418,2007,New York,Hispanic,24.6,16.9,29.2,103,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,25.1,47.3,18.2
419,2009,New York,Hispanic,22.6,18.3,29.8,103,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,24.6,25.1,47.3
420,2011,New York,Hispanic,29.5,18.0,25.6,103,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,22.6,24.6,25.1
421,2013,New York,Hispanic,29.3,16.0,22.7,103,-169.0,133.79999999999927,-79.5,-592.3000000000002,29.5,22.6,24.6
422,2015,New York,Hispanic,22.6,16.4,15.5,103,-96.5,-169.0,178.5000000000009,133.79999999999927,29.3,29.5,22.6
423,2017,New York,Hispanic,25.5,20.3,18.1,103,8.300000000000182,-96.5,-156.80000000000018,-169.0,22.6,29.3,29.5
424,2019,New York,Hispanic,23.8,18.8,11.3,103,-96.0,8.300000000000182,333.89999999999964,-96.5,25.5,22.6,29.3
425,2007,North Carolina,Hispanic,18.9,19.7,30.1,104,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,15.9,22.5,37.8
426,2015,North Carolina,Hispanic,21.4,17.0,17.1,104,-96.5,-169.0,178.5000000000009,133.79999999999927,18.9,15.9,22.5
427,2017,North Carolina,Hispanic,21.0,21.6,20.7,104,8.300000000000182,-96.5,-156.80000000000018,-169.0,21.4,18.9,15.9
428,2019,North Carolina,Hispanic,22.5,20.9,17.4,104,-96.0,8.300000000000182,333.89999999999964,-96.5,21.0,21.4,18.9
432,2007,Oklahoma,Hispanic,30.8,14.2,35.8,107,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,30.2,27.9,29.0
433,2009,Oklahoma,Hispanic,31.0,22.3,27.9,107,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,30.8,30.2,27.9
434,2011,Oklahoma,Hispanic,37.9,19.1,29.7,107,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,31.0,30.8,30.2
435,2013,Oklahoma,Hispanic,29.6,12.4,23.6,107,-169.0,133.79999999999927,-79.5,-592.3000000000002,37.9,31.0,30.8
436,2015,Oklahoma,Hispanic,39.6,17.6,25.9,107,-96.5,-169.0,178.5000000000009,133.79999999999927,29.6,37.9,31.0
437,2017,Oklahoma,Hispanic,29.7,23.4,23.4,107,8.300000000000182,-96.5,-156.80000000000018,-169.0,39.6,29.6,37.9
438,2019,Oklahoma,Hispanic,29.6,18.6,17.4,107,-96.0,8.300000000000182,333.89999999999964,-96.5,29.7,39.6,29.6
439,2009,Pennsylvania,Hispanic,17.9,20.0,30.9,108,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,17.1,24.0,27.5
440,2015,Pennsylvania,Hispanic,24.6,18.1,20.3,108,-96.5,-169.0,178.5000000000009,133.79999999999927,17.9,17.1,24.0
441,2017,Pennsylvania,Hispanic,19.7,18.6,19.4,108,8.300000000000182,-96.5,-156.80000000000018,-169.0,24.6,17.9,17.1
442,2019,Pennsylvania,Hispanic,29.1,16.3,14.6,108,-96.0,8.300000000000182,333.89999999999964,-96.5,19.7,24.6,17.9
445,2007,Rhode Island,Hispanic,25.0,16.8,30.2,110,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,22.0,35.8,21.4
446,2009,Rhode Island,Hispanic,24.9,21.3,26.4,110,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,25.0,22.0,35.8
447,2011,Rhode Island,Hispanic,37.5,20.7,22.0,110,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,24.9,25.0,22.0
448,2013,Rhode Island,Hispanic,29.0,21.2,20.8,110,-169.0,133.79999999999927,-79.5,-592.3000000000002,37.5,24.9,25.0
449,2015,Rhode Island,Hispanic,20.7,19.6,15.7,110,-96.5,-169.0,178.5000000000009,133.79999999999927,29.0,37.5,24.9
450,2017,Rhode Island,Hispanic,20.4,18.5,10.7,110,8.300000000000182,-96.5,-156.80000000000018,-169.0,20.7,29.0,37.5
454,2009,South Dakota,Hispanic,20.8,16.7,27.8,112,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,16.1,13.5,16.0
455,2019,South Dakota,Hispanic,17.7,16.2,16.1,112,-96.0,8.300000000000182,333.89999999999964,-96.5,20.8,16.1,13.5
457,2009,Tennessee,Hispanic,25.2,15.6,40.4,113,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,35.1,30.3,28.4
458,2011,Tennessee,Hispanic,21.2,13.1,33.7,113,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,25.2,35.1,30.3
459,2013,Tennessee,Hispanic,15.9,16.5,37.3,113,-169.0,133.79999999999927,-79.5,-592.3000000000002,21.2,25.2,35.1
460,2015,Tennessee,Hispanic,28.4,20.8,19.3,113,-96.5,-169.0,178.5000000000009,133.79999999999927,15.9,21.2,25.2
461,2017,Tennessee,Hispanic,28.6,18.0,23.2,113,8.300000000000182,-96.5,-156.80000000000018,-169.0,28.4,15.9,21.2
462,2019,Tennessee,Hispanic,14.8,19.5,18.8,113,-96.0,8.300000000000182,333.89999999999964,-96.5,28.6,28.4,15.9
463,2007,Texas,Hispanic,34.1,16.5,36.7,114,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,19.3,22.9,41.7
464,2009,Texas,Hispanic,32.5,17.2,33.9,114,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,34.1,19.3,22.9
465,2011,Texas,Hispanic,34.5,18.4,29.5,114,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,32.5,34.1,19.3
466,2013,Texas,Hispanic,36.0,17.2,23.7,114,-169.0,133.79999999999927,-79.5,-592.3000000000002,34.5,32.5,34.1
467,2017,Texas,Hispanic,28.2,20.7,18.2,114,8.300000000000182,-96.5,-156.80000000000018,-169.0,36.0,34.5,32.5
468,2019,Texas,Hispanic,32.7,19.4,16.8,114,-96.0,8.300000000000182,333.89999999999964,-96.5,28.2,36.0,34.5
472,2013,Utah,Hispanic,19.3,19.3,13.1,115,-169.0,133.79999999999927,-79.5,-592.3000000000002,18.8,23.1,33.6
473,2017,Utah,Hispanic,16.0,19.3,14.7,115,8.300000000000182,-96.5,-156.80000000000018,-169.0,19.3,18.8,23.1
474,2019,Utah,Hispanic,13.1,15.7,9.9,115,-96.0,8.300000000000182,333.89999999999964,-96.5,16.0,19.3,18.8
475,2007,Vermont,Hispanic,20.0,14.3,36.0,116,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,10.9,13.8,20.3
476,2009,Vermont,Hispanic,21.2,12.1,40.1,116,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,20.0,10.9,13.8
477,2011,Vermont,Hispanic,16.5,14.3,26.4,116,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,21.2,20.0,10.9
478,2011,Virginia,Hispanic,11.0,21.8,24.5,117,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,9.1,3.1,6.2
479,2013,Virginia,Hispanic,11.3,20.7,18.0,117,-169.0,133.79999999999927,-79.5,-592.3000000000002,11.0,9.1,3.1
480,2015,Virginia,Hispanic,15.9,21.0,14.1,117,-96.5,-169.0,178.5000000000009,133.79999999999927,11.3,11.0,9.1
481,2017,Virginia,Hispanic,12.9,16.7,18.8,117,8.300000000000182,-96.5,-156.80000000000018,-169.0,15.9,11.3,11.0
482,2009,Wisconsin,Hispanic,34.3,17.7,23.3,118,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,37.5,51.8,35.2
483,2011,Wisconsin,Hispanic,36.2,15.3,27.2,118,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,34.3,37.5,51.8
484,2013,Wisconsin,Hispanic,37.6,14.2,22.7,118,-169.0,133.79999999999927,-79.5,-592.3000000000002,36.2,34.3,37.5
485,2017,Wisconsin,Hispanic,36.3,15.1,16.7,118,8.300000000000182,-96.5,-156.80000000000018,-169.0,37.6,36.2,34.3
486,2007,Wyoming,Hispanic,26.7,10.1,32.6,119,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,31.3,44.3,11.8
487,2009,Wyoming,Hispanic,26.6,12.9,31.8,119,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,26.7,31.3,44.3
488,2011,Wyoming,Hispanic,22.7,18.1,26.6,119,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,26.6,26.7,31.3
489,2013,Wyoming,Hispanic,26.2,16.1,25.0,119,-169.0,133.79999999999927,-79.5,-592.3000000000002,22.7,26.6,26.7
490,2015,Wyoming,Hispanic,28.5,17.9,19.4,119,-96.5,-169.0,178.5000000000009,133.79999999999927,26.2,22.7,26.6
492,2011,Alabama,Non-Hispanic Black,30.2,16.5,40.8,120,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,29.3,23.0,26.2
493,2013,Alabama,Non-Hispanic Black,38.9,13.9,32.1,120,-169.0,133.79999999999927,-79.5,-592.3000000000002,30.2,29.3,23.0
494,2015,Alabama,Non-Hispanic Black,25.8,19.7,28.5,120,-96.5,-169.0,178.5000000000009,133.79999999999927,38.9,30.2,29.3
495,2019,Alabama,Non-Hispanic Black,20.8,23.5,18.2,120,-96.0,8.300000000000182,333.89999999999964,-96.5,25.8,38.9,30.2
496,2007,Arizona,Non-Hispanic Black,29.7,24.9,23.7,121,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,35.0,37.0,23.2
497,2009,Arizona,Non-Hispanic Black,25.8,20.6,26.6,121,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,29.7,35.0,37.0
498,2007,Arkansas,Non-Hispanic Black,23.8,15.3,33.3,122,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,13.8,22.4,24.8
499,2009,Arkansas,Non-Hispanic Black,14.9,13.5,24.9,122,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,23.8,13.8,22.4
500,2011,Arkansas,Non-Hispanic Black,25.8,21.8,31.5,122,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,14.9,23.8,13.8
501,2013,Arkansas,Non-Hispanic Black,19.2,20.5,26.2,122,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.8,14.9,23.8
502,2015,Arkansas,Non-Hispanic Black,29.9,21.3,29.9,122,-96.5,-169.0,178.5000000000009,133.79999999999927,19.2,25.8,14.9
503,2017,Arkansas,Non-Hispanic Black,26.6,22.7,26.5,122,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.9,19.2,25.8
504,2019,Arkansas,Non-Hispanic Black,20.7,19.1,12.4,122,-96.0,8.300000000000182,333.89999999999964,-96.5,26.6,29.9,19.2
505,2017,California,Non-Hispanic Black,28.9,12.2,13.2,123,8.300000000000182,-96.5,-156.80000000000018,-169.0,26.1,39.2,36.2
506,2015,Connecticut,Non-Hispanic Black,16.2,22.6,13.4,124,-96.5,-169.0,178.5000000000009,133.79999999999927,12.7,14.7,6.6
507,2017,Connecticut,Non-Hispanic Black,11.6,19.4,10.5,124,8.300000000000182,-96.5,-156.80000000000018,-169.0,16.2,12.7,14.7
508,2007,Delaware,Non-Hispanic Black,31.3,20.6,30.4,125,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,14.0,12.1,25.8
509,2009,Delaware,Non-Hispanic Black,23.5,18.3,32.4,125,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,31.3,14.0,12.1
510,2011,Delaware,Non-Hispanic Black,26.7,18.9,27.6,125,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,23.5,31.3,14.0
511,2013,Delaware,Non-Hispanic Black,15.3,20.6,23.4,125,-169.0,133.79999999999927,-79.5,-592.3000000000002,26.7,23.5,31.3
512,2015,Delaware,Non-Hispanic Black,11.5,17.5,21.2,125,-96.5,-169.0,178.5000000000009,133.79999999999927,15.3,26.7,23.5
514,2011,District of Columbia,Non-Hispanic Black,14.1,19.3,29.2,126,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,17.8,12.3,10.4
515,2007,Florida,Non-Hispanic Black,26.0,17.6,31.7,127,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,17.4,19.4,19.5
516,2009,Florida,Non-Hispanic Black,26.2,15.9,27.5,127,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,26.0,17.4,19.4
517,2011,Florida,Non-Hispanic Black,22.5,17.2,27.1,127,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,26.2,26.0,17.4
518,2013,Florida,Non-Hispanic Black,28.1,17.6,20.4,127,-169.0,133.79999999999927,-79.5,-592.3000000000002,22.5,26.2,26.0
519,2015,Florida,Non-Hispanic Black,23.0,14.9,23.2,127,-96.5,-169.0,178.5000000000009,133.79999999999927,28.1,22.5,26.2
520,2017,Florida,Non-Hispanic Black,23.4,17.7,18.1,127,8.300000000000182,-96.5,-156.80000000000018,-169.0,23.0,28.1,22.5
521,2019,Florida,Non-Hispanic Black,22.2,17.0,15.8,127,-96.0,8.300000000000182,333.89999999999964,-96.5,23.4,23.0,28.1
522,2007,Georgia,Non-Hispanic Black,31.9,20.8,29.5,128,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,37.0,23.8,25.2
